,Miss work for health past 30 days,Days of poor physical health past 30 days,Days of poor mental health past 30 days,When did your last paid job end,Number of hours worked last week,Gss year for this respondent
685,,,,,42.0,1998.0
686,,,,1996.0,,1998.0
687,,,,,48.0,1998.0
688,,,,,45.0,1998.0
689,,,,,,1998.0
690,,,,,,1998.0
691,,,,1985.0,,1998.0
692,,,,,18.0,1998.0
693,,,,,44.0,1998.0
694,,,,,56.0,1998.0
695,,,,1980.0,,1998.0
696,,,,,,1998.0
697,,,,,70.0,1998.0
698,,,,1996.0,,1998.0
699,,,,,40.0,1998.0
700,,,,,,1998.0
701,,,,,70.0,1998.0
702,,,,1984.0,,1998.0
703,,,,,24.0,1998.0
704,,,,,40.0,1998.0
705,,,,,22.0,1998.0
706,,,,,40.0,1998.0
707,,,,,40.0,1998.0
708,,,,,,1998.0
709,,,,,,1998.0
710,,,,,30.0,1998.0
711,,,,,55.0,1998.0
712,,,,,47.0,1998.0
713,,,,,,1998.0
714,,,,,89.0,1998.0
715,,,,,40.0,1998.0
716,,,,,,1998.0
717,,,,,45.0,1998.0
718,,,,,45.0,1998.0
719,,,,,,1998.0
720,,,,,55.0,1998.0
721,,,,,24.0,1998.0
722,,,,,48.0,1998.0
723,,,,,14.0,1998.0
724,,,,,40.0,1998.0
725,,,,,,1998.0
726,,,,,56.0,1998.0
727,,,,,,1998.0
728,,,,,50.0,1998.0
729,,,,,,1998.0
730,,,,,,1998.0
731,,,,,,1998.0
732,,,,1991.0,,1998.0
733,,,,,80.0,1998.0
734,,,,,,1998.0
735,,,,,30.0,1998.0
736,,,,,32.0,1998.0
737,,,,1995.0,,1998.0
738,,,,,74.0,1998.0
739,,,,,60.0,1998.0
740,,,,,40.0,1998.0
741,,,,,50.0,1998.0
742,,,,,32.0,1998.0
743,,,,,,1998.0
744,,,,,50.0,1998.0
745,,,,,,1998.0
746,,,,,60.0,1998.0
747,,,,,40.0,1998.0
748,,,,,45.0,1998.0
749,,,,,40.0,1998.0
750,,,,1994.0,,1998.0
751,,,,,,1998.0
752,,,,,45.0,1998.0
753,,,,,30.0,1998.0
754,,,,,20.0,1998.0
755,,,,,14.0,1998.0
756,,,,,37.0,1998.0
757,,,,,65.0,1998.0
758,,,,,22.0,1998.0
759,,,,,15.0,1998.0
760,,,,,40.0,1998.0
761,,,,1997.0,,1998.0
762,,,,,,1998.0
763,,,,,,1998.0
764,,,,1946.0,,1998.0
765,,,,,,1998.0
766,,,,,,1998.0
767,,,,,42.0,1998.0
768,,,,,50.0,1998.0
769,,,,,52.0,1998.0
770,,,,,40.0,1998.0
771,,,,,42.0,1998.0
772,,,,1997.0,,1998.0
773,,,,,45.0,1998.0
774,,,,,45.0,1998.0
775,,,,,36.0,1998.0
776,,,,,,1998.0
777,,,,,,1998.0
778,,,,,50.0,1998.0
779,,,,,20.0,1998.0
780,,,,,45.0,1998.0
781,,,,,40.0,1998.0
782,,,,,40.0,1998.0
783,,,,,,1998.0
784,,,,1990.0,,1998.0
785,,,,,,1998.0
786,,,,,,1998.0
787,,,,1993.0,,1998.0
788,,,,,,1998.0
789,,,,,,1998.0
790,,,,,,1998.0
791,,,,,45.0,1998.0
792,,,,,35.0,1998.0
793,,,,,40.0,1998.0
794,,,,1992.0,,1998.0
795,,,,1987.0,,1998.0
796,,,,,32.0,1998.0
797,,,,,60.0,1998.0
798,,,,,,1998.0
799,,,,,48.0,1998.0
800,,,,,,1998.0
801,,,,,30.0,1998.0
802,,,,,,1998.0
803,,,,,40.0,1998.0
804,,,,,44.0,1998.0
805,,,,,56.0,1998.0
806,,,,,50.0,1998.0
807,,,,,30.0,1998.0
808,,,,,38.0,1998.0
809,,,,,,1998.0
810,,,,,30.0,1998.0
811,,,,,,1998.0
812,,,,,60.0,1998.0
813,,,,,40.0,1998.0
814,,,,1959.0,,1998.0
815,,,,,,1998.0
816,,,,,,1998.0
817,,,,,7.0,1998.0
818,,,,,60.0,1998.0
819,,,,1995.0,,1998.0
820,,,,,60.0,1998.0
821,,,,,25.0,1998.0
822,,,,,65.0,1998.0
823,,,,,,1998.0
824,,,,,16.0,1998.0
825,,,,,65.0,1998.0
826,,,,,,1998.0
827,,,,,40.0,1998.0
828,,,,1997.0,,1998.0
829,,,,,,1998.0
830,,,,,,1998.0
831,,,,1995.0,,1998.0
832,,,,,48.0,1998.0
833,,,,,,1998.0
834,,,,1986.0,,1998.0
835,,,,,,1998.0
836,,,,,27.0,1998.0
837,,,,,,1998.0
838,,,,,42.0,1998.0
839,,,,,45.0,1998.0
840,,,,,,1998.0
841,,,,,35.0,1998.0
842,,,,,40.0,1998.0
843,,,,1981.0,,1998.0
844,,,,1982.0,,1998.0
845,,,,,40.0,1998.0
846,,,,,,1998.0
847,,,,,50.0,1998.0
848,,,,,48.0,1998.0
849,,,,,45.0,1998.0
850,,,,,40.0,1998.0
851,,,,,60.0,1998.0
852,,,,,16.0,1998.0
853,,,,,,1998.0
854,,,,,,1998.0
855,,,,,,1998.0
856,,,,,48.0,1998.0
857,,,,,,1998.0
858,,,,,,1998.0
859,,,,,,1998.0
860,,,,,,1998.0
861,,,,,,1998.0
862,,,,1991.0,,1998.0
863,,,,,,1998.0
864,,,,,30.0,1998.0
865,,,,,40.0,1998.0
866,,,,,40.0,1998.0
867,,,,,50.0,1998.0
868,,,,,20.0,1998.0
869,,,,,40.0,1998.0
870,,,,,30.0,1998.0
871,,,,,40.0,1998.0
872,,,,,56.0,1998.0
873,,,,,65.0,1998.0
874,,,,,,1998.0
875,,,,,,1998.0
876,,,,,36.0,1998.0
877,,,,,48.0,1998.0
878,,,,,,1998.0
879,,,,,,1998.0
880,,,,,80.0,1998.0
881,,,,,40.0,1998.0
882,,,,,50.0,1998.0
883,,,,,38.0,1998.0
884,,,,1997.0,,1998.0
885,,,,,25.0,1998.0
886,,,,,40.0,1998.0
887,,,,,,1998.0
888,,,,,,1998.0
889,,,,,42.0,1998.0
890,,,,,25.0,1998.0
891,,,,,,1998.0
892,,,,,,1998.0
893,,,,,80.0,1998.0
894,,,,,40.0,1998.0
895,,,,,4.0,1998.0
896,,,,,56.0,1998.0
897,,,,,24.0,1998.0
898,,,,,,1998.0
899,,,,,37.0,1998.0
900,,,,,40.0,1998.0
901,,,,,55.0,1998.0
902,,,,,50.0,1998.0
903,,,,,42.0,1998.0
904,,,,,67.0,1998.0
905,,,,,48.0,1998.0
906,,,,,,1998.0
907,,,,,50.0,1998.0
908,,,,,38.0,1998.0
909,,,,,,1998.0
910,,,,,,1998.0
911,,,,,40.0,1998.0
912,,,,,,1998.0
913,,,,,40.0,1998.0
914,,,,,40.0,1998.0
915,,,,,60.0,1998.0
916,,,,,40.0,1998.0
917,,,,,40.0,1998.0
918,,,,1962.0,,1998.0
919,,,,,22.0,1998.0
920,,,,,,1998.0
921,,,,,30.0,1998.0
922,,,,,40.0,1998.0
923,,,,,60.0,1998.0
924,,,,,40.0,1998.0
925,,,,,40.0,1998.0
926,,,,,40.0,1998.0
927,,,,,45.0,1998.0
928,,,,,40.0,1998.0
929,,,,1997.0,,1998.0
930,,,,,45.0,1998.0
